year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,30,2012-06-25 through 2012-07-01,6,1,0,1,0,0,1,1
2012,27,30,2012-07-02 through 2012-07-08,20,2,0,2,0,0,2,2
2012,28,30,2012-07-09 through 2012-07-15,14,2,0,6,0,0,0,3
2012,29,30,2012-07-16 through 2012-07-22,15,4,0,9,0,0,0,4
2012,30,30,2012-07-23 through 2012-07-29,19,3,0,8,0,1,1,5
2012,31,30,2012-07-30 through 2012-08-05,19,5,1,5,1,1,1,6
2012,32,30,2012-08-06 through 2012-08-12,18,4,0,5,0,1,1,7
2012,33,30,2012-08-13 through 2012-08-19,11,2,0,4,0,0,1,8
2012,34,30,2012-08-20 through 2012-08-26,11,4,0,7,0,2,0,9
2012,35,30,2012-08-27 through 2012-09-02,18,5,0,6,0,1,2,10
2012,36,30,2012-09-03 through 2012-09-09,18,7,0,9,0,0,2,11
2012,37,30,2012-09-10 through 2012-09-16,15,6,0,8,0,0,2,12
2012,38,30,2012-09-17 through 2012-09-23,18,6,0,8,0,1,1,13
2012,39,30,2012-09-24 through 2012-09-30,6,0,0,0,0,0,0,14
2012,40,30,2012-10-01 through 2012-10-07,21,7,0,14,0,0,3,15
2012,41,30,2012-10-08 through 2012-10-14,18,2,0,6,0,1,0,16
2012,42,30,2012-10-15 through 2012-10-21,17,2,0,4,0,0,1,17
2012,43,30,2012-10-22 through 2012-10-28,16,3,0,4,0,0,2,18
2012,44,30,2012-10-29 through 2012-11-04,21,5,0,6,0,1,1,19
2012,45,30,2012-11-05 through 2012-11-11,15,4,0,6,0,0,1,20
2012,46,30,2012-11-12 through 2012-11-18,12,3,0,5,0,0,0,21
2012,47,30,2012-11-19 through 2012-11-25,9,2,0,3,0,0,1,22
2012,48,30,2012-11-26 through 2012-12-02,16,3,0,3,0,0,0,23
2012,49,30,2012-12-03 through 2012-12-09,18,6,0,6,0,0,4,24
2012,50,30,2012-12-10 through 2012-12-16,14,1,0,1,0,0,0,25
2012,51,30,2012-12-17 through 2012-12-23,11,2,0,2,0,0,1,26
2012,52,30,2012-12-24 through 2012-12-30,15,4,0,4,0,0,3,27
2013,1,30,2012-12-31 through 2013-01-06,8,2,0,2,0,2,0,28
2013,2,30,2013-01-07 through 2013-01-13,8,2,0,2,0,0,1,29
2013,3,30,2013-01-14 through 2013-01-20,20,5,0,8,0,1,2,30
2013,4,30,2013-01-21 through 2013-01-27,13,3,0,4,0,0,2,31
2013,5,30,2013-01-28 through 2013-02-03,13,4,0,7,0,1,0,32
2013,6,30,2013-02-04 through 2013-02-10,21,7,1,13,1,0,8,33
2013,7,30,2013-02-11 through 2013-02-17,11,2,0,5,0,0,1,34
2013,8,30,2013-02-18 through 2013-02-24,18,5,0,9,0,1,0,35
2013,9,30,2013-02-25 through 2013-03-03,13,4,0,9,0,2,1,36
2013,10,30,2013-03-04 through 2013-03-10,20,1,0,1,0,0,0,37
2013,11,30,2013-03-11 through 2013-03-17,15,3,0,5,0,0,1,38
2013,12,30,2013-03-18 through 2013-03-24,17,1,0,1,0,0,0,39
2013,13,30,2013-03-25 through 2013-03-31,9,1,0,1,0,0,0,40
2013,14,30,2013-04-01 through 2013-04-07,15,2,0,2,0,0,2,41
2013,15,30,2013-04-08 through 2013-04-14,20,3,0,3,0,2,0,42
2013,16,30,2013-04-15 through 2013-04-21,16,3,0,5,0,0,1,43
2013,17,30,2013-04-22 through 2013-04-28,13,2,0,2,0,0,2,44
2013,18,30,2013-04-29 through 2013-05-05,11,1,0,2,0,0,0,45
2013,19,30,2013-05-06 through 2013-05-12,16,4,0,4,0,0,0,46
2013,20,30,2013-05-13 through 2013-05-19,15,4,0,4,0,1,3,47
2013,21,30,2013-05-20 through 2013-05-26,20,1,0,5,0,0,0,48
2013,22,30,2013-05-27 through 2013-06-02,25,2,0,5,0,0,0,49
2013,23,30,2013-06-03 through 2013-06-09,15,2,0,3,0,0,2,50
2013,24,30,2013-06-10 through 2013-06-16,23,7,0,7,0,1,1,51
2013,25,30,2013-06-17 through 2013-06-23,22,5,0,5,0,1,1,52
2013,26,30,2013-06-24 through 2013-06-30,19,4,0,4,0,0,2,53
2013,27,30,2013-07-01 through 2013-07-07,13,4,0,4,0,0,2,54
2013,28,30,2013-07-08 through 2013-07-14,14,3,0,3,0,0,2,55
2013,29,30,2013-07-15 through 2013-07-21,16,1,0,1,0,0,0,56
2013,30,30,2013-07-22 through 2013-07-28,21,6,0,12,0,0,0,57
2013,31,30,2013-07-29 through 2013-08-04,22,2,0,2,0,1,1,58
2013,32,30,2013-08-05 through 2013-08-11,18,1,0,1,0,1,0,59
2013,33,30,2013-08-12 through 2013-08-18,18,4,0,4,0,0,1,60
2013,34,30,2013-08-19 through 2013-08-25,19,4,0,4,0,2,0,61
2013,35,30,2013-08-26 through 2013-09-01,17,3,0,4,0,0,3,62
