year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,40,2012-06-25 through 2012-07-01,3,0,0,0,0,0,0,1
2012,27,40,2012-07-02 through 2012-07-08,40,12,0,16,0,0,6,2
2012,28,40,2012-07-09 through 2012-07-15,42,10,0,16,0,0,1,3
2012,29,40,2012-07-16 through 2012-07-22,23,4,0,5,0,0,3,4
2012,30,40,2012-07-23 through 2012-07-29,32,9,0,12,0,2,3,5
2012,31,40,2012-07-30 through 2012-08-05,49,7,0,30,0,0,1,6
2012,32,40,2012-08-06 through 2012-08-12,30,7,0,12,0,1,1,7
2012,33,40,2012-08-13 through 2012-08-19,35,9,0,9,0,2,1,8
2012,34,40,2012-08-20 through 2012-08-26,23,9,0,14,0,1,3,9
2012,35,40,2012-08-27 through 2012-09-02,29,11,0,13,0,1,5,10
2012,36,40,2012-09-03 through 2012-09-09,35,16,0,21,0,0,6,11
2012,37,40,2012-09-10 through 2012-09-16,36,7,0,10,0,0,3,12
2012,38,40,2012-09-17 through 2012-09-23,34,10,1,11,1,2,0,13
2012,39,40,2012-09-24 through 2012-09-30,31,9,0,17,0,0,3,14
2012,40,40,2012-10-01 through 2012-10-07,38,10,0,15,0,1,1,15
2012,41,40,2012-10-08 through 2012-10-14,31,6,0,6,0,2,2,16
2012,42,40,2012-10-15 through 2012-10-21,32,6,0,8,0,0,1,17
2012,43,40,2012-10-22 through 2012-10-28,31,5,0,8,0,0,0,18
2012,44,40,2012-10-29 through 2012-11-04,24,4,0,7,0,0,0,19
2012,45,40,2012-11-05 through 2012-11-11,40,7,0,7,0,0,4,20
2012,46,40,2012-11-12 through 2012-11-18,32,5,0,13,0,0,3,21
2012,47,40,2012-11-19 through 2012-11-25,23,5,0,5,0,0,3,22
2012,48,40,2012-11-26 through 2012-12-02,30,5,0,6,0,0,2,23
2012,49,40,2012-12-03 through 2012-12-09,35,13,0,16,0,0,6,24
2012,50,40,2012-12-10 through 2012-12-16,30,8,1,10,1,1,4,25
2012,51,40,2012-12-17 through 2012-12-23,30,10,0,16,0,0,3,26
2012,52,40,2012-12-24 through 2012-12-30,30,8,0,9,0,3,2,27
2013,1,40,2012-12-31 through 2013-01-06,30,7,1,11,1,0,2,28
2013,2,40,2013-01-07 through 2013-01-13,23,9,0,9,0,0,7,29
2013,3,40,2013-01-14 through 2013-01-20,28,8,0,11,0,0,4,30
2013,4,40,2013-01-21 through 2013-01-27,27,5,0,9,0,0,3,31
2013,5,40,2013-01-28 through 2013-02-03,27,5,0,11,0,0,5,32
2013,6,40,2013-02-04 through 2013-02-10,37,7,0,14,0,0,2,33
2013,7,40,2013-02-11 through 2013-02-17,37,11,0,13,0,0,4,34
2013,8,40,2013-02-18 through 2013-02-24,40,7,0,8,0,0,6,35
2013,9,40,2013-02-25 through 2013-03-03,47,13,0,26,0,0,5,36
2013,10,40,2013-03-04 through 2013-03-10,40,11,0,13,0,0,6,37
2013,11,40,2013-03-11 through 2013-03-17,37,5,0,6,0,0,3,38
